deutscher Name;wissenschaftlicher Name;Kategorie;;
RUDERFÜSSER;ORDNUNG SULIFORMES;;;
Tölpel;Familie Sulidae;;;
Basstölpel;Morus bassanus;A;;
Weißbauchtölpel;Sula leucogaster;A;;
Scharben;Familie Phalacrocoracidae;;;
Zwergscharbe;Microcarbo pygmaeus;A;;
Krähenscharbe;Phalacrocorax aristotelis;A;;
Kormoran;Phalacrocorax carbo;A;;

PELIKANVÖGEL;ORDNUNG PELECANIFORMES;;;
Ibisse;Familie Threskiornithidae;;;
Sichler;Plegadis falcinellus;A;;
Löffler;Platalea leucorodia;A;;
Reiher;Familie Ardeidae;;;
Rohrdommel;Botaurus stellaris;A;;
Zwergdommel;Ixobrychus minutus;A;;
Nachtreiher;Nycticorax nycticorax;A;;
Rallenreiher;Ardeola ralloides;A;;
Kuhreiher;Bubulcus ibis;A;;
Graureiher;Ardea cinerea;A;;
Purpurreiher;Ardea purpurea;A;;
Silberreiher;Ardea alba;A;;
Seidenreiher;Egretta garzetta;A;;
Pelikane;Familie Pelecanidae;;;
Rosapelikan;Pelecanus onocrotalus;BD;;
Krauskopfpelikan;Pelecanus crispus;A;;

GREIFVÖGEL;ORDNUNG ACCIPITRIFORMES;;;
Fischadler;Familie Pandionidae;;;
Fischadler;Pandion haliaetus;A;;
Habichtverwandte;Familie Accipitridae;;;
Gleitaar;Elanus caeruleus;A;;
Bartgeier;Gypaetus barbatus;BE;;
Schmutzgeier;Neophron percnopterus;A;;
Wespenbussard;Pernis apivorus;A;;
Gänsegeier;Gyps fulvus;A;;
Mönchsgeier;Aegypius monachus;BE;;
Schlangenadler;Circaetus gallicus;A;;
Schreiadler;Clanga pomarina;A;;
Schelladler;Clanga clanga;A;;
Zwergadler;Hieraaetus pennatus;A;;
Steppenadler;Aquila nipalensis;A;;
Kaiseradler;Aquila heliaca;A;;
Steinadler;Aquila chrysaetos;A;;
Habichtsadler;Aquila fasciata;A;;
Sperber;Accipiter nisus;A;;
Habicht;Accipiter gentilis;A;;
Rohrweihe;Circus aeruginosus;A;;
Kornweihe;Circus cyaneus;A;;
Steppenweihe;Circus macrourus;A;;
Wiesenweihe;Circus pygargus;A;;
Rotmilan;Milvus milvus;A;;
Schwarzmilan;Milvus migrans;A;;
Seeadler;Haliaeetus albicilla;A;;
Raufußbussard;Buteo lagopus;A;;
Adlerbussard;Buteo rufinus;A;;
Mäusebussard;Buteo buteo;A;;

EULEN;ORDNUNG STRIGIFORMES;;;
Schleiereulen;Familie Tytonidae;;;
Schleiereule;Tyto alba;A;;
Eulen;Familie Strigidae;;;
Zwergohreule;Otus scops;A;;
Schneeeule;Bubo scandiacus;A;;
Uhu;Bubo bubo;A;;
Waldkauz;Strix aluco;A;;
Habichtskauz;Strix uralensis;BE;;
Sperbereule;Surnia ulula;A;;
Sperlingskauz;Glaucidium passerinum;A;;
Steinkauz;Athene noctua;A;;
Raufußkauz;Aegolius funereus;A;;
Waldohreule;Asio otus;A;;
Sumpfohreule;Asio flammeus;A;;

HORNVÖGEL;ORDNUNG BUCEROTIFORMES;;;
Wiedehopfe;Familie Upupidae;;;
